- | STRIKE | Gravity Thump :: D (redundant with Gravity Thump)
- | SHOVE | Ponderous Clout :: D (redundant)
- | SHOVE | Ponderous Stampede :: D (redundant)
- | SHOVE | Massive Shove :: D (redundant with Mass Shove)
- | SHOVE | Massive Push :: D (redundant)
- | SHOVE | Massive Thrust :: D (redundant)
- | SHOVE | Massive Ram :: D (redundant)
- | SHOVE | Massive Charge :: D (redundant)
- | SHOVE | Massive Slam :: D (redundant)
- | SHOVE | Massive Bash :: D (redundant)
- | SHOVE | Massive Buffet :: D (redundant)
- | SHOVE | Massive Jolt :: D (redundant)
- | SHOVE | Massive Jostle :: D (redundant)
- | SHOVE | Massive Barge :: D (redundant)
- | SHOVE | Massive Broadside :: D (redundant)
- | SHOVE | Massive Collision :: D (redundant)
- | SHOVE | Massive Repel :: D (redundant)
- | SHOVE | Massive Repulse :: D (redundant)
- | SHOVE | Massive Expel :: D (redundant)
- | SHOVE | Massive Eject :: D (redundant)
- | SHOVE | Massive Evict :: D (redundant)
- | SHOVE | Massive Displace :: D (redundant)
- | SHOVE | Massive Dislodge :: D (redundant)
- | SHOVE | Massive Unseat :: D (redundant)
- | SHOVE | Massive Upset :: D (redundant)
- | SHOVE | Massive Overturn :: D (redundant)
- | SHOVE | Massive Topple :: D (redundant)
- | SHOVE | Massive Overthrow :: D (redundant)
- | SHOVE | Massive Stagger :: D (redundant)
- | SHOVE | Massive Rock :: D (redundant)
- | SHOVE | Massive Buckle :: D (redundant)
- | SHOVE | Massive Wrench :: D (redundant)
- | SHOVE | Massive Heave :: D (redundant)
- | SHOVE | Massive Bump :: D (redundant)
- | SHOVE | Massive Clout :: D (redundant)
- | SHOVE | Massive Stampede :: D (redundant)
- | SHOVE | Collapse Push :: D (redundant)
- | SHOVE | Collapse Thrust :: D (redundant)
- | SHOVE | Collapse Ram :: D (redundant with Void Ram, strike-owned)
- | SHOVE | Collapse Charge :: D (redundant with Singularity Charge, strike-owned)
- | SHOVE | Collapse Slam :: D (redundant with Collapse Slam, strike-owned)
- | SHOVE | Collapse Bash :: D (redundant with Void Bash)
- | SHOVE | Collapse Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Collapse Jolt :: D (redundant with Void Jolt)
- | SHOVE | Collapse Jostle :: D (redundant)
- | SHOVE | Collapse Barge :: D (redundant)
- | SHOVE | Collapse Broadside :: D (redundant)
- | SHOVE | Collapse Collision :: D (redundant with Void Collision)
- | SHOVE | Collapse Expel :: D (redundant with Void Expel)
- | SHOVE | Collapse Eject :: D (redundant with Void Eject)
- | SHOVE | Collapse Evict :: D (redundant with Void Evict)
- | SHOVE | Collapse Displace :: D (redundant with Void Displace)
- | SHOVE | Collapse Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Collapse Unseat :: D (redundant with Void Unseat)
- | SHOVE | Collapse Upset :: D (redundant with Void Upset)
- | SHOVE | Collapse Overturn :: D (redundant with Void Overturn)
- | SHOVE | Collapse Topple :: D (redundant with Void Topple)
- | SHOVE | Collapse Overthrow :: D (redundant with Void Overthrow)
- | SHOVE | Collapse Stagger :: D (redundant with Void Stagger)
- | SHOVE | Collapse Rock :: D (redundant with Void Rock)
- | SHOVE | Collapse Buckle :: D (redundant with Void Buckle)
- | SHOVE | Collapse Wrench :: D (redundant with Void Wrench)
- | SHOVE | Collapse Heave :: D (redundant with Void Heave)
- | SHOVE | Collapse Bump :: D (redundant with Void Bump)
- | SHOVE | Collapse Clout :: D (redundant)
- | SHOVE | Collapse Stampede :: D (redundant)
- | SHOVE | Torsion Push :: D (redundant)
- | SHOVE | Torsion Thrust :: D (redundant)
- | SHOVE | Torsion Ram :: D (redundant)
- | SHOVE | Torsion Charge :: D (redundant)
- | SHOVE | Torsion Slam :: D (redundant)
- | SHOVE | Torsion Bash :: D (redundant)
- | SHOVE | Torsion Buffet :: D (redundant)
- | SHOVE | Torsion Jolt :: D (redundant)
- | SHOVE | Torsion Jostle :: D (redundant)
- | SHOVE | Torsion Barge :: D (redundant)
- | SHOVE | Torsion Broadside :: D (redundant)
- | SHOVE | Torsion Collision :: D (redundant)
- | SHOVE | Torsion Repel :: D (redundant)
- | SHOVE | Torsion Repulse :: D (redundant)
- | SHOVE | Torsion Expel :: D (redundant)
- | SHOVE | Torsion Eject :: D (redundant)
- | SHOVE | Torsion Evict :: D (redundant)
- | SHOVE | Torsion Displace :: D (redundant)
- | SHOVE | Torsion Dislodge :: D (redundant)
- | SHOVE | Torsion Unseat :: D (redundant)
- | SHOVE | Torsion Upset :: D (redundant)
- | SHOVE | Torsion Overturn :: D (redundant)
- | SHOVE | Torsion Topple :: D (redundant)
- | SHOVE | Torsion Overthrow :: D (redundant)
- | SHOVE | Torsion Stagger :: D (redundant)
- | SHOVE | Torsion Rock :: D (redundant)
- | SHOVE | Torsion Buckle :: D (redundant)
- | SHOVE | Torsion Heave :: D (redundant)
- | SHOVE | Torsion Bump :: D (redundant)
- | SHOVE | Torsion Clout :: D (redundant)
- | SHOVE | Torsion Stampede :: D (redundant)
- | CRUSH | Gravity Compress :: D — redundant, "gravity" already covers this via Gravity Press/Gravity Squeeze; 
- | CRUSH | Gravity Compact :: D — redundant with Density Compact, no distinct Gravity reading
- | CRUSH | Gravity Clench :: D — redundant with Gravity Clutch, no distinct clench image
- | CRUSH | Gravity Grip :: D — redundant, covered by Void Grip's stronger anatomy-tagged version; Gravity G
- | CRUSH | Gravity Clasp :: D — redundant with Clutch
- | CRUSH | Gravity Strangle :: D — gravity has no throat-analog to strangle with; redundant with Throttle below
- | CRUSH | Gravity Choke :: D — redundant with Mass Choke, no distinct Gravity reading
- | CRUSH | Gravity Squash :: D — redundant with Void Squash, no distinct Gravity reading
- | CRUSH | Gravity Mash :: D — redundant with Mass Mash
- | CRUSH | Gravity Pulp :: D — redundant with Void Pulp, no distinct Gravity reading
- | CRUSH | Gravity Crumple :: D — redundant with Collapse Crumple, no distinct Gravity reading
- | CRUSH | Gravity Wring :: D — redundant with Mass Wring, no distinct Gravity reading
- | CRUSH | Gravity Implode :: D — implosion is a void/collapse image, not gravity's own; redundant with Implos
- | CRUSH | Gravity Buckle :: D — no distinct Gravity Buckle surfaced, redundant with Void Buckle
- | CRUSH | Gravity Weight :: D — redundant with Void Weight, no distinct Gravity reading
- | CRUSH | Gravity Vise :: D — no distinct Gravity Vise surfaced, redundant with Void Vise
- | CRUSH | Void Compact :: D — redundant with Density Compact/Mass Compact
- | CRUSH | Void Squeeze :: D — redundant with Singularity Squeeze, no distinct Void reading needed given th
- | CRUSH | Void Clamp :: D — redundant with Gravity Clamp
- | CRUSH | Void Clasp :: D — redundant with Clutch
- | CRUSH | Void Strangle :: D — void has no throat-analog independent of the body it inhabits; redundant wit
- | CRUSH | Void Mash :: D — redundant with Mass Mash, no distinct Void reading
- | CRUSH | Void Wring :: D — redundant with Mass Wring
- | CRUSH | Void Implode :: D — redundant with the bare ratified "Implosion," no distinct "Void Implode" nee
- | CRUSH | Void Collapse :: D — redundant with Collapsing Crush
- | CRUSH | Singularity Crush :: D — redundant with Singularity Crush, already ratified bare compound covers this
- | CRUSH | Singularity Grind :: D — redundant with Void Grind, no distinct Singularity reading
- | CRUSH | Singularity Compress :: D — redundant with Void Compress
- | CRUSH | Singularity Compact :: D — redundant
- | CRUSH | Singularity Constrict :: D — redundant with Void Constrict
- | CRUSH | Singularity Grip :: D — redundant with Void Grip
- | CRUSH | Singularity Throttle :: D — redundant with Void Throttle/Gravity Throttle
- | CRUSH | Singularity Choke :: D — redundant
- | CRUSH | Singularity Smother :: D — redundant with Void Smother
- | CRUSH | Singularity Squash :: D — redundant
- | CRUSH | Singularity Smash :: D — redundant with Void Smash
- | CRUSH | Singularity Mash :: D — redundant
- | CRUSH | Singularity Pulverize :: D — redundant with Void Pulverize/Gravity Pulverize
- | CRUSH | Singularity Pound :: D — redundant with Gravity Pound
- | CRUSH | Singularity Ram :: D — redundant with Void Ram
- | CRUSH | Singularity Press :: D — redundant with Gravity Press
- | CRUSH | Singularity Implode :: D — redundant with the bare ratified "Implosion" and "Singularity Crush"
- | CRUSH | Singularity Collapse :: D — redundant
- | CRUSH | Mass Crush :: D — redundant with Gravity Crush
- | CRUSH | Mass Grind :: D — redundant
- | CRUSH | Mass Compress :: D — redundant with Void Compress
- | CRUSH | Mass Squeeze :: D — redundant with Gravity Squeeze
- | CRUSH | Mass Constrict :: D — redundant with Void Constrict/Gravity Constrict
- | CRUSH | Mass Clench :: D — redundant with Void Clench
- | CRUSH | Mass Grip :: D — redundant, covered by the stronger anatomy-tagged Void Grip
- | CRUSH | Mass Clutch :: D — redundant with Void Clutch/Gravity Clutch
- | CRUSH | Mass Throttle :: D — redundant with Gravity Throttle
- | CRUSH | Mass Smother :: D — redundant with Void Smother/Gravity Smother
- | CRUSH | Mass Squash :: D — redundant
- | CRUSH | Mass Smash :: D — redundant with Void Smash/Gravity Smash
- | CRUSH | Mass Pulverize :: D — redundant
- | CRUSH | Mass Pulp :: D — redundant with Void Pulp
- | CRUSH | Mass Flatten :: D — redundant with Void Flatten/Gravity Flatten
- | CRUSH | Mass Crumple :: D — redundant
- | CRUSH | Mass Pound :: D — redundant with Gravity Pound
- | CRUSH | Mass Press :: D — redundant with Gravity Press/Void Press
- | CRUSH | Mass Implode :: D — redundant
- | CRUSH | Mass Buckle :: D — redundant
- | CRUSH | Mass Collapse :: D — redundant
- | CRUSH | Mass Vise :: D — redundant with Void Vise
- | CRUSH | Density Crush :: D — redundant, "Density Crush" adds nothing over Gravity/Mass Crush
- | CRUSH | Density Grind :: D — redundant
- | CRUSH | Density Compress :: D — redundant with Void Compress
- | CRUSH | Density Squeeze :: D — redundant
- | CRUSH | Density Constrict :: D — redundant
- | CRUSH | Density Clamp :: D — redundant with Gravity Clamp
- | CRUSH | Density Press :: D — no distinct Density Press surfaced, redundant
- | CRUSH | Density Collapse :: D — redundant with Void Weight
- | CRUSH | Density Weight :: D — no distinct Density Vise surfaced, redundant with Void Vise; K (Density Barr
- | CRUSH | Weight Crush :: D — redundant with Gravity Crush
- | CRUSH | Burden Crush :: D — redundant
- | CRUSH | Burden Weight :: D — redundant with Weight Press's register, T-adjacent (burden and weight are ne
- | CRUSH | Collapse Crush :: D — redundant with the ratified "Collapsing Crush"
- | CRUSH | Collapse Implode :: D — redundant with the bare ratified "Implosion"
- | CRUSH | Implosion Crush :: D — redundant with the bare ratified keep and Singularity/Gravity Crush
- | CRUSH | Deadweight Weight :: D — redundant with Void Weight; "Deadweight Weight" tautology, T
- | CRUSH | Millstone Crush :: D — redundant with the bare ratified "Millstone" and "Millstone Grind"
- | WARD | Gravity Bastion :: D — redundant/mismatched, mass-fortress image already carried by Gravity Bulwark
- | WARD | Gravity Stronghold :: D — redundant with the Bastion/Redoubt family, stronghold reads as an unnecessar
- | WARD | Gravity Refuge :: D — redundant with Horizon Refuge/Void Refuge, no distinct Gravity reading
- | WARD | Gravity Haven :: D — redundant with Void Haven, no distinct Gravity reading
- | WARD | Gravity Vigil :: D — redundant with Void Vigil
- | WARD | Gravity Deflect :: D — redundant with Void Deflect
- | WARD | Gravity Parry :: D — redundant with Void Parry
- | WARD | Gravity Withstand :: D — redundant with Void Withstand
- | WARD | Gravity Endure :: D — redundant with Void Endure/Mass Endure
- | WARD | Gravity Bolster :: D — redundant with Void Bolster
- | WARD | Gravity Insulate :: D — redundant with Void Insulate
- | WARD | Gravity Buffer :: D — redundant with Inertial Buffer (ratified) and Void Buffer
- | WARD | Gravity Screen :: D — redundant with Horizon Screen/Void Screen
- | WARD | Gravity Veil :: D — redundant with Void Veil/Horizon Veil
- | WARD | Gravity Shroud :: D — redundant with Umbral Shroud (ratified)
- | WARD | Gravity Curtain :: D — redundant with Void Curtain
- | WARD | Void Aegis :: D — redundant with Gravity Aegis
- | WARD | Void Bulwark :: D — redundant with Gravity Bulwark, no distinct Void reading beyond the mass-for
- | WARD | Void Stronghold :: D — redundant
- | WARD | Void Brace :: D — redundant with Gravity Brace, no distinct Void reading
- | WARD | Horizon Aegis :: D — redundant with Gravity Aegis/Horizon Aegis, holding only Horizon Aegis as th
- | WARD | Horizon Bulwark :: D — redundant with Gravity Bulwark
- | WARD | Horizon Shield :: D — redundant with Void Shield/Gravity Shield
- | WARD | Horizon Redoubt :: D — redundant with Void Redoubt
- | WARD | Horizon Sanctuary :: D — redundant with Void Sanctuary
- | WARD | Horizon Haven :: D — redundant with Void Haven
- | WARD | Horizon Safeguard :: D — redundant with Void Safeguard
- | WARD | Horizon Fortify :: D — redundant with Void Fortify
- | WARD | Horizon Reinforce :: D — redundant with Void Reinforce
- | WARD | Horizon Buttress :: D — redundant with Void Buttress
- | WARD | Horizon Cover :: D — redundant with Void Cover/Gravity Cover
- | WARD | Horizon Deflect :: D — redundant with Void Deflect
- | WARD | Horizon Repel :: D — redundant with Void Repel/Gravity Repel
- | WARD | Horizon Absorb :: D — redundant with Void Absorb/Gravity Absorb
- | WARD | Horizon Withstand :: D — redundant with Void Withstand
- | WARD | Horizon Buffer :: D — redundant with Inertial Buffer
- | WARD | Horizon Shroud :: D — redundant with Umbral Shroud
- | WARD | Horizon Mantle :: D — redundant with Gravity Mantle/Void Mantle
- | WARD | Horizon Wall :: D — redundant with Void Wall/Gravity Wall
- | WARD | Horizon Curtain :: D — redundant with Void Curtain
- | WARD | Mass Ward :: D — redundant with Gravity Ward
- | WARD | Density Ward :: D — redundant
- | WARD | Umbral Ward :: D — redundant, "Umbral Ward" flat next to the far more evocative Umbral Shroud a
- | MEND | Dilation Heal :: D — "Dilation Heal" reads redundant/flat next to the more precise Dilation Mend,
- | MEND | Dilation Restore :: D — redundant with Dilation Mend
- | MEND | Stasis Heal :: D — redundant with Stasis Mend
- | MEND | Stasis Restore :: D — redundant
- | TERRORIZE | Void Fright :: D — "fright" is a lighter, sudden-startle register that undersells void's sustai
- | TERRORIZE | Void Unnerve :: D — same abstract-pair failure as Void Intimidate; redundant
- | TERRORIZE | Void Shriek :: D — a shriek needs vocal cords; void's embodied-voice register is already covere
- | TERRORIZE | Void Howl :: D — redundant with the kept Void-family vocal names, no distinct "howl" image be
- | TERRORIZE | Void Wail :: D — see cell rejection pattern, "Void Wail" reads as the abstract force wailing 
- | TERRORIZE | Gravity Dread :: D — redundant with Void Dread, no distinct Gravity reading
- | TERRORIZE | Gravity Terror :: D — redundant with Void Terror
- | TERRORIZE | Gravity Horror :: D — redundant with Void Horror
- | TERRORIZE | Gravity Presence :: D — redundant with Void Presence
- | TERRORIZE | Gravity Glare :: D — redundant with Void Glare, no distinct Gravity reading
- | TERRORIZE | Gravity Chill :: D — redundant with Void Chill
- | TERRORIZE | Gravity Cow :: D — redundant with Void Cow's failure mode, no rescue
- | TERRORIZE | Gravity Stare :: D — redundant with Void Stare
- | TERRORIZE | Gravity Aura :: D — redundant with Doom Aura
- | TERRORIZE | Gravity Shudder :: D — redundant with Void Shudder
- | TERRORIZE | Gravity Growl :: D — redundant with Void Growl, no distinct Gravity reading
- | TERRORIZE | Gravity Snarl :: D — redundant with Void Snarl
- | TERRORIZE | Gravity Hiss :: D — redundant with Void Hiss
- | TERRORIZE | Singularity Terror :: D — redundant with Void Terror
- | TERRORIZE | Singularity Horror :: D — redundant
- | TERRORIZE | Singularity Menace :: D — redundant with Gravity Menace/Void Menace
- | TERRORIZE | Singularity Presence :: D — redundant with Void Presence
- | TERRORIZE | Singularity Glare :: D — redundant with Void Glare
- | TERRORIZE | Singularity Chill :: D — redundant with Void Chill
- | TERRORIZE | Singularity Roar :: D — redundant with Void Roar
- | TERRORIZE | Singularity Loom :: D — redundant with Gravity Loom/Void Loom
- | TERRORIZE | Singularity Stare :: D — redundant with Void Stare
- | TERRORIZE | Singularity Aura :: D — redundant with Doom Aura
- | TERRORIZE | Singularity Wither :: D — redundant with Void Wither/Gravity Wither
- | TERRORIZE | Singularity Shudder :: D — redundant with Void Shudder
- | TERRORIZE | Mass Dread :: D — redundant with Void Dread
- | TERRORIZE | Terminal Terror :: D — redundant with Terminal Presence's register
- | TERRORIZE | Oblivion Horror :: D — redundant
- | TERRORIZE | Abyss Terror :: D — redundant
- | TERRORIZE | Collapse Terror :: D — redundant
- | TERRORIZE | Horizon Dread :: D — redundant with Void Dread
- | TERRORIZE | Entropic Dread :: D — redundant with Void Dread
- | TERRORIZE | Darkening Dread :: D — redundant with Void Dread
- | TERRORIZE | Eclipsing Dread :: D — redundant
- | TERRORIZE | Smothering Dread :: D — redundant, register already carried by the ratified Smothering Darkness
